"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.662708448E-3,-1.899496510E0,1.027440575E0,-8.961629820E-1
1.366070844E-2,-1.581520683E0,1.666500900E0,-1.454383796E-1
2.365970844E-2,-8.892062572E-1,2.022264796E0,1.167209494E0
3.365770844E-2,-1.997929269E-1,2.209414873E0,2.877890786E0
4.365570843E-2,3.637766281E-1,2.401128117E0,4.557326896E0
5.365470843E-2,7.917618236E-1,2.449012136E0,5.631969119E0
6.365270843E-2,1.300804046E0,2.428235809E0,5.934552589E0
7.365070842E-2,1.584434059E0,2.254518541E0,5.629759457E0
8.364870842E-2,1.524137571E0,1.950544018E0,4.916110879E0
9.364770842E-2,1.326761883E0,1.733156819E0,4.085495185E0
1.036457084E-1,1.122243236E0,1.719045734E0,3.085466942E0
1.136437084E-1,8.787238806E-1,1.769279163E0,2.008180608E0
1.236427084E-1,5.099461289E-1,1.867867312E0,1.302015882E0
1.336407084E-1,9.998292916E-2,1.941440488E0,9.067511201E-1
1.436387084E-1,-5.187920161E-2,1.871898383E0,7.477659112E-1
1.536377084E-1,5.930253424E-2,1.781616204E0,1.036227770E0
1.636357084E-1,3.756089075E-1,1.626260946E0,2.006103677E0
1.736337084E-1,7.461240131E-1,1.253632511E0,3.346540443E0
1.836317084E-1,1.137221025E0,5.378344971E-1,4.479954200E0
1.936307084E-1,1.406667885E0,-1.694371068E-1,4.883936575E0
2.036287084E-1,1.621712105E0,-7.063161689E-1,4.245138790E0
2.136267084E-1,1.656850655E0,-9.003519273E-1,3.300249791E0
2.236257084E-1,1.466821701E0,-8.837312168E-1,2.383330362E0
2.336237084E-1,9.419517238E-1,-7.211464620E-1,1.287356912E0
2.436217084E-1,2.187664108E-1,-5.965007812E-1,2.493018866E-2
2.536207084E-1,-4.248536826E-1,-7.652759832E-1,-1.328022543E0
2.636187084E-1,-5.045920163E-1,-7.573547602E-2,-2.364559631E0
2.736167083E-1,-3.430812854E-1,4.951691186E-1,-3.085841748E0
2.836147083E-1,-3.157092629E-1,8.704223692E-1,-3.526431786E0
2.936137083E-1,-1.501446939E-1,1.186107695E0,-3.655686827E0
3.036117083E-1,1.711558959E-1,1.193830113E0,-3.175526927E0
3.136097083E-1,2.998977340E-1,9.829608053E-1,-2.272098779E0
3.236087083E-1,3.223940922E-1,6.673602641E-1,-1.452317390E0
3.336067083E-1,4.047921050E-1,2.367040604E-1,-1.093395998E0
3.436047083E-1,2.404217932E-1,-2.286553681E-2,-1.189556383E0
3.536027083E-1,-1.279452280E-1,-3.944824040E-2,-1.333608388E0
3.636017083E-1,-5.073123237E-1,5.267581165E-2,-1.474981198E0
3.735997085E-1,-8.692594311E-1,1.680431306E-1,-1.615527213E0
3.835977085E-1,-1.156081950E0,1.953624916E-1,-1.664629206E0
3.935967085E-1,-1.276178205E0,2.091601664E-1,-1.496025327E0
4.035947085E-1,-1.211809570E0,2.119030952E-1,-1.228346812E0
4.135927085E-1,-9.312153587E-1,1.121472573E-1,-8.891381371E-1
4.235917085E-1,-5.422889060E-1,-2.850599492E-1,-6.104393739E-1
4.335897085E-1,-2.099379192E-1,-8.570293218E-1,-6.381399733E-1
4.435877085E-1,-2.434180527E-1,-1.155043777E0,-7.967562228E-1
4.535857085E-1,-3.830774830E-1,-7.871176726E-1,-9.654232514E-1
4.635847085E-1,-2.187435336E-1,1.605645418E-2,-1.007178218E0
4.735827085E-1,7.965201415E-2,7.074025816E-1,-1.070481344E0
4.835807085E-1,2.665394052E-1,1.322000495E0,-1.160041977E0
4.935797085E-1,4.545645183E-1,1.734081849E0,-1.094191804E0
5.035777085E-1,4.750457798E-1,1.698759989E0,-8.835376740E-1
5.135757085E-1,5.038223400E-1,1.293619865E0,-6.200124353E-1
5.235737085E-1,5.433854051E-1,8.083091515E-1,-3.151374418E-1
5.335727085E-1,3.892532390E-1,6.062638772E-1,1.876061600E-1
5.435707085E-1,2.104930392E-1,6.503653318E-1,6.885201681E-1
5.535687085E-1,1.801421527E-1,7.010612762E-1,1.075226945E0
5.635677085E-1,2.702621081E-1,8.025350261E-1,1.422255101E0
5.735657085E-1,4.854499864E-1,1.099763616E0,1.724505864E0
5.835637085E-1,8.268777888E-1,1.401908544E0,1.925606813E0
5.935617085E-1,1.108138437E0,1.621712982E0,1.990673459E0
6.035607085E-1,1.281289987E0,1.685330104E0,2.273475798E0
6.135587085E-1,1.337847911E0,1.469401785E0,2.804919873E0
6.235567085E-1,1.386389742E0,9.107313198E-1,3.474106808E0
6.335557085E-1,1.355382834E0,1.025712723E-1,3.953528790E0
6.435537084E-1,1.159549861E0,-6.407004690E-1,4.290216730E0
6.535517084E-1,8.275126503E-1,-1.257298715E0,4.494431906E0
6.635497084E-1,4.260666510E-1,-1.645850873E0,4.394545090E0
6.735487084E-1,7.079406716E-2,-1.759655816E0,3.860198457E0
6.835467084E-1,-2.114528962E-1,-1.681365984E0,2.864283146E0
6.935447084E-1,-4.140183535E-1,-1.404134872E0,1.685278648E0
7.035437084E-1,-6.049529314E-1,-1.054420797E0,5.243619275E-1
7.135417084E-1,-6.854920413E-1,-8.261045676E-1,-6.592308801E-1
7.235397084E-1,-6.860016992E-1,-5.170061302E-1,-1.755010203E0
7.335377084E-1,-8.075918444E-1,-1.019005966E-1,-2.402923213E0
7.435367084E-1,-9.296775410E-1,2.641485518E-1,-2.433643899E0
7.535347084E-1,-8.652532844E-1,4.753926659E-1,-2.214918857E0
7.635327084E-1,-7.391997403E-1,4.988844395E-1,-1.812439801E0
7.735317084E-1,-5.822078107E-1,3.584787583E-1,-1.190431126E0
7.835297084E-1,-3.123236154E-1,1.258847058E-1,-5.352412570E-1
7.935277084E-1,-9.578845642E-2,-1.983106577E-1,-1.688149631E-2
8.035267084E-1,3.834542812E-2,-4.838845772E-1,2.873456258E-1
8.135247084E-1,6.100513380E-2,-6.196621871E-1,4.367647898E-1
