"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.433031082E-3,6.046040262E1,2.480863065E1,7.170985997E1,NaN,NaN,6.576993691E0,3.000000000E1
3.527796268E-2,6.046040262E1,2.480863065E1,7.170985997E1,NaN,NaN,6.576993691E0,3.000000000E1
3.299120784E0,6.046033807E1,2.480854577E1,6.847176780E1,1.122689247E0,NaN,1.573600550E1,8.889572144E0
4.299087882E0,6.046032103E1,2.480850209E1,6.912866501E1,0.000000000E0,NaN,1.842035720E1,1.905732918E1
5.299055099E0,6.046030608E1,2.480848165E1,6.939060841E1,1.122689247E0,NaN,1.719494317E1,2.704061890E1
6.299021482E0,6.046032144E1,2.480849700E1,6.928880173E1,1.193573356E0,NaN,1.526367463E1,2.479608727E1
7.298989058E0,6.046029708E1,2.480841237E1,6.394957880E1,1.193573356E0,1.792537522E2,7.044192705E0,1.526331520E1
8.939140677E0,6.046027137E1,2.480840761E1,6.767781601E1,1.118096471E0,1.773993968E2,4.513590013E0,9.176195183E0
9.939145923E0,6.046025596E1,2.480840588E1,7.017638888E1,1.043399572E0,1.804157450E2,4.001926041E0,6.010732651E0
1.094195306E1,6.046023938E1,2.480840684E1,7.112333783E1,9.782099128E-1,1.916478544E2,3.982982449E0,5.259878635E0
1.194485521E1,6.046022775E1,2.480840275E1,7.136711752E1,9.782099128E-1,1.919645157E2,3.668809745E0,4.535291195E0
1.294776154E1,6.046021877E1,2.480840131E1,7.133114883E1,8.344929814E-1,1.916129932E2,3.340189810E0,4.009733677E0
1.395026958E1,6.046021289E1,2.480840778E1,7.097643264E1,1.052337646E0,1.890360994E2,3.034185026E0,3.496392727E0
1.495264852E1,6.046019893E1,2.480841206E1,7.063623824E1,1.034498453E0,1.884293737E2,2.860807673E0,3.145848751E0
1.595502162E1,6.046018926E1,2.480840751E1,7.063624030E1,1.034498453E0,1.884293713E2,2.605518077E0,5.345545490E0
1.695705199E1,6.046017896E1,2.480840749E1,7.040434611E1,1.052337646E0,1.799532182E2,2.859641352E0,6.932557798E0
1.795897162E1,6.046016811E1,2.480840585E1,7.048553042E1,1.118941784E0,1.915700277E2,3.081524320E0,7.174894297E0
1.896089137E1,6.046015632E1,2.480840092E1,7.038600980E1,1.295399547E0,1.926745777E2,3.276784481E0,7.144692726E0
1.996252716E1,6.046014936E1,2.480839039E1,7.028639236E1,1.205607533E0,2.234572344E2,3.406521540E0,7.102475829E0
2.096408379E1,6.046014163E1,2.480836783E1,7.027772507E1,1.295399547E0,2.379892363E2,3.564277633E0,7.000294429E0
2.196564400E1,6.046013532E1,2.480834280E1,7.011105757E1,1.433173418E0,2.437259912E2,3.704128616E0,7.146434216E0
2.296715963E1,6.046013042E1,2.480831853E1,7.005806066E1,1.433173418E0,2.479476211E2,3.828120149E0,8.555179460E0
2.396838570E1,6.046012486E1,2.480829914E1,6.999756746E1,1.250202894E0,2.466649691E2,3.938022869E0,7.722150810E0
2.496953404E1,6.046011763E1,2.480827785E1,6.982821148E1,1.250202894E0,2.371099731E2,4.035365630E0,6.186062583E0
2.597060716E1,6.046011032E1,2.480826390E1,6.986494401E1,1.445302844E0,2.262084176E2,4.047205275E0,7.071782917E0
2.697161353E1,6.046010035E1,2.480824678E1,6.975225870E1,1.445302844E0,2.219120795E2,4.131972862E0,5.936445496E0
2.797254992E1,6.046008516E1,2.480824431E1,6.962103684E1,1.445302844E0,1.967119277E2,4.207607238E0,6.809152378E0
2.897343576E1,6.046007220E1,2.480824051E1,6.960539749E1,1.453423023E0,1.919597844E2,4.355578270E0,7.463664622E0
2.997426033E1,6.046005934E1,2.480824104E1,6.958703230E1,1.448330283E0,1.850021330E2,4.362382093E0,8.023561742E0
3.097504461E1,6.046004519E1,2.480824209E1,6.946621848E1,1.479794741E0,1.831601547E2,4.369072139E0,8.665484110E0
3.197576737E1,6.046004021E1,2.480824257E1,6.921697335E1,1.449504733E0,1.931446852E2,4.274663850E0,9.136597032E0
3.297644091E1,6.046000416E1,2.480822476E1,6.927507682E1,1.479794741E0,1.850454500E2,4.748651530E0,9.587711916E0
3.397707379E1,6.045999035E1,2.480822237E1,6.927093043E1,1.499618769E0,1.856134756E2,4.748651530E0,9.975048013E0
3.497766721E1,6.045997673E1,2.480821605E1,6.935450484E1,1.501044273E0,1.897764469E2,4.748651530E0,1.049648470E1
3.597822297E1,6.045995227E1,2.480824573E1,7.103716172E1,1.458078835E0,1.879402408E2,2.000000030E0,3.000000000E0
3.697873831E1,6.045993975E1,2.480824101E1,7.101947215E1,1.412504323E0,1.908608237E2,2.000000018E0,3.000000000E0
3.797922719E1,6.045992448E1,2.480823747E1,7.119859900E1,1.433762893E0,1.852655785E2,2.000000014E0,3.000000000E0
3.897967994E1,6.045990970E1,2.480822848E1,7.115961535E1,1.417008804E0,1.896813062E2,2.000000019E0,3.000000000E0
3.998010612E1,6.045989599E1,2.480822542E1,7.121758841E1,1.418897866E0,1.917393223E2,2.578943839E0,3.000000000E0
4.098050070E1,6.045988179E1,2.480821763E1,7.106784816E1,1.452664439E0,1.939781368E2,2.733254401E0,3.000000000E0
4.198087204E1,6.045987448E1,2.480821531E1,7.096243526E1,1.392647959E0,1.952651622E2,2.628503771E0,3.000000000E0
4.298122025E1,6.045986153E1,2.480821101E1,7.089848415E1,1.274304929E0,1.967825820E2,2.639709127E0,3.000000000E0
4.398154247E1,6.045984394E1,2.480821990E1,7.138925751E1,1.408229590E0,1.876535702E2,2.725146378E0,3.000000000E0
4.498184657E1,6.045983209E1,2.480822735E1,7.151066381E1,1.306285486E0,1.659639726E2,2.652631718E0,3.000000000E0
4.598212886E1,6.045981977E1,2.480821350E1,7.132039613E1,1.232693160E0,1.942180470E2,2.612552624E0,3.000000000E0
4.698239183E1,6.045980836E1,2.480820471E1,7.137075316E1,1.140785560E0,1.956111945E2,2.597424715E0,3.000000000E0
4.798263931E1,6.045979404E1,2.480821161E1,7.143322446E1,1.200607760E0,1.811874378E2,2.619748778E0,3.000000000E0
4.898286855E1,6.045978225E1,2.480820816E1,7.132761662E1,1.110504368E0,1.765833194E2,2.575481010E0,3.000000000E0
4.998308396E1,6.045977200E1,2.480821240E1,7.156893677E1,9.746223050E-1,1.820801798E2,2.565784175E0,3.000000000E0
5.098328292E1,6.045976599E1,2.480821693E1,7.170598429E1,7.650561893E-1,1.826681516E2,2.585111635E0,3.000000000E0
5.198346925E1,6.045975296E1,2.480824591E1,7.164772933E1,1.081662002E0,1.636369337E2,2.661135249E0,3.000000000E0
5.298364329E1,6.045975475E1,2.480825290E1,7.365700369E1,1.056069597E0,1.539860936E2,2.664889578E0,3.126442832E0
5.398380542E1,6.045975108E1,2.480825784E1,7.256945350E1,6.184743796E-1,1.485498795E2,2.704149759E0,3.063090165E0
5.498395634E1,6.045974160E1,2.480827644E1,7.276088088E1,9.799644698E-1,1.465822846E2,2.747954333E0,3.073170070E0
5.598409700E1,6.045973308E1,2.480829676E1,7.251162713E1,1.106825599E0,1.456652061E2,2.750683331E0,3.002116542E0
5.698422754E1,6.045972392E1,2.480831231E1,7.226011597E1,1.170627589E0,1.443084849E2,2.750683330E0,3.035417239E0
5.798434806E1,6.045971958E1,2.480833299E1,7.223902172E1,1.140017059E0,1.382533505E2,2.744098576E0,3.031552762E0
5.898446035E1,6.045971306E1,2.480836065E1,7.229097294E1,1.368551041E0,1.325244139E2,2.871104108E0,3.166913031E0
5.998456550E1,6.045970281E1,2.480838172E1,7.173623537E1,1.477939138E0,1.367665666E2,2.902817417E0,3.508113140E0
6.098466206E1,6.045969331E1,2.480840145E1,7.164296367E1,1.540646946E0,1.401763744E2,2.961538805E0,3.625370361E0
6.198475242E1,6.045968316E1,2.480842500E1,7.158267119E1,1.522387557E0,1.380112193E2,2.976179017E0,3.711846524E0
6.298483539E1,6.045967298E1,2.480844526E1,7.156421408E1,1.527894121E0,1.376934897E2,2.936250037E0,3.677939885E0
6.398491240E1,6.045966045E1,2.480845881E1,7.129496426E1,1.525749674E0,1.448336712E2,2.909264356E0,3.696933573E0
6.498498368E1,6.045964928E1,2.480847453E1,7.117595329E1,1.519886941E0,1.475424274E2,2.875435091E0,3.564847637E0
6.598504853E1,6.045964001E1,2.480849712E1,7.162010880E1,1.538020985E0,1.427536430E2,2.866974477E0,3.437984039E0
6.698510921E1,6.045962800E1,2.480851812E1,7.165149691E1,1.519436011E0,1.420159188E2,2.873829628E0,3.363125523E0
6.798516488E1,6.045961683E1,2.480854053E1,7.158326898E1,1.495101034E0,1.437323271E2,2.908417422E0,3.397432547E0
6.898521543E1,6.045960504E1,2.480855342E1,7.152338768E1,1.512859689E0,1.496041688E2,2.903293344E0,3.404811527E0
6.998526239E1,6.045959379E1,2.480856661E1,7.141562822E1,1.531724885E0,1.490723462E2,2.997652530E0,3.446027060E0
7.098530555E1,6.045958560E1,2.480859392E1,7.154421917E1,1.539340224E0,1.394974881E2,2.976838652E0,3.448422716E0
7.198534417E1,6.045957541E1,2.480860972E1,7.096513535E1,1.530562027E0,1.384437410E2,2.951408792E0,3.494353956E0
7.298537982E1,6.045956505E1,2.480862893E1,7.083029917E1,1.535411415E0,1.378123467E2,2.974912198E0,3.565218250E0
7.398541212E1,6.045955217E1,2.480864149E1,7.074229950E1,1.528770242E0,1.482342643E2,2.937993097E0,3.560770564E0
7.498544180E1,6.045953682E1,2.480864621E1,7.065434794E1,1.554536319E0,1.591026652E2,2.902724108E0,3.523504663E0
7.598546731E1,6.045952142E1,2.480863553E1,7.092322288E1,1.525824836E0,1.788145397E2,2.911515146E0,3.529331163E0
7.698549128E1,6.045950700E1,2.480862488E1,7.062609582E1,1.531989898E0,1.905044188E2,2.931184477E0,3.597298136E0
7.798551250E1,6.045949319E1,2.480861343E1,7.075578210E1,1.530504403E0,2.007060223E2,2.909837846E0,3.618915982E0
7.898553145E1,6.045947764E1,2.480860817E1,7.102188926E1,1.546155194E0,1.973850415E2,2.971942401E0,3.947438226E0
7.998554766E1,6.045946427E1,2.480860038E1,7.159273563E1,1.519613596E0,1.952629253E2,3.002095081E0,4.129789925E0
8.098556221E1,6.045945170E1,2.480858555E1,7.166015673E1,1.513806802E0,1.988503019E2,3.068655927E0,4.358747721E0
8.198557413E1,6.045943854E1,2.480857036E1,7.096984758E1,1.512710446E0,2.041439820E2,3.066100915E0,4.365140056E0
8.298558474E1,6.045942367E1,2.480856051E1,7.109784481E1,1.556942402E0,2.004734818E2,3.027544148E0,4.124413638E0
8.398559356E1,6.045940847E1,2.480855100E1,7.135532691E1,1.532181146E0,1.988105001E2,3.051050646E0,4.105049183E0
8.498560071E1,6.045939507E1,2.480854136E1,7.222324917E1,1.514179510E0,1.981352686E2,3.023645423E0,4.011948035E0
8.598560703E1,6.045938201E1,2.480853003E1,6.998562206E1,1.408386927E0,1.996063430E2,2.972463136E0,3.714966207E0
8.698561084E1,6.045937084E1,2.480852813E1,6.996902485E1,1.307491474E0,1.945595475E2,2.923839941E0,3.459979883E0
8.798561478E1,6.045935082E1,2.480853971E1,7.097023977E1,1.556492902E0,1.799616335E2,2.947533675E0,3.630969598E0
8.898561597E1,6.045933750E1,2.480855046E1,7.117504887E1,1.559710265E0,1.693565406E2,2.925077202E0,3.846131409E0
8.998561633E1,6.045932925E1,2.480858071E1,7.231417201E1,1.450957898E0,1.456039511E2,2.953001408E0,3.829660481E0
